date,temperature
20111001,62.7
20111002,59.9
20111003,59.1
20111004,58.8
20111005,58.7
20111006,57.0
20111007,56.7
20111008,56.8
20111009,56.7
20111010,60.1
20111011,61.1
20111012,61.5
20111013,64.3
20111014,67.1
20111015,64.6
20111016,61.6
20111017,61.1
20111018,59.2
20111019,58.9
20111020,57.2
20111021,56.4
20111022,60.7
20111023,65.1
20111024,60.9
20111025,56.1
20111026,54.6
20111027,56.1
20111028,58.1
20111029,57.5
20111030,57.7
20111031,55.1
20111101,57.9
20111102,64.6
20111103,56.2
20111104,50.5
20111105,51.3
20111106,52.6
20111107,51.4
20111108,50.6
20111109,54.6
20111110,55.6
20111111,53.9
20111112,54.0
20111113,53.8
20111114,53.5
20111115,53.4
20111116,52.2
20111117,52.7
20111118,53.1
20111119,49.0
20111120,50.4
20111121,51.1
20111122,52.3
20111123,54.6
20111124,55.1
20111125,51.5
20111126,53.6
20111127,52.3
20111128,51.0
20111129,49.5
20111130,49.8
20111201,60.4
20111202,62.2
20111203,58.3
20111204,52.7
20111205,51.5
20111206,49.9
20111207,48.6
20111208,46.4
20111209,49.8
20111210,52.1
20111211,48.8
20111212,47.4
20111213,47.2
20111214,46.1
20111215,48.8
20111216,47.9
20111217,49.8
20111218,49.1
20111219,48.3
20111220,49.3
20111221,48.4
20111222,53.3
20111223,47.5
20111224,47.9
20111225,48.9
20111226,45.9
20111227,47.2
20111228,48.9
20111229,50.9
20111230,52.9
20111231,50.1
20120101,53.9
20120102,53.1
20120103,49.7
20120104,52.7
20120105,52.6
20120106,49.0
20120107,51.0
20120108,56.8
20120109,52.3
20120110,51.6
20120111,49.8
20120112,51.9
20120113,53.7
20120114,52.9
20120115,49.7
20120116,45.3
20120117,43.6
20120118,45.0
20120119,47.3
20120120,51.4
20120121,53.7
20120122,48.3
20120123,52.9
20120124,49.1
20120125,52.1
20120126,53.6
20120127,50.4
20120128,50.3
20120129,53.8
20120130,51.9
20120131,50.0
20120201,50.0
20120202,51.3
20120203,51.5
20120204,52.0
20120205,53.8
20120206,54.6
20120207,54.3
20120208,51.9
20120209,53.8
20120210,53.9
20120211,52.3
20120212,50.1
20120213,49.5
20120214,48.6
20120215,49.9
20120216,52.4
20120217,49.9
20120218,51.6
20120219,47.8
20120220,48.7
20120221,49.7
20120222,53.4
20120223,54.1
20120224,55.9
20120225,51.7
20120226,47.7
20120227,45.4
20120228,47.0
20120229,49.8
20120301,48.9
20120302,48.1
20120303,50.7
20120304,55.0
20120305,48.8
20120306,48.4
20120307,49.9
20120308,49.2
20120309,51.7
20120310,49.3
20120311,50.0
20120312,48.6
20120313,53.9
20120314,55.2
20120315,55.9
20120316,54.6
20120317,48.2
20120318,47.1
20120319,45.8
20120320,49.7
20120321,51.4
20120322,51.4
20120323,48.4
20120324,49.0
